Applicant,Major,Interviews availability
 1 ,Computer Science,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 2 ,Aerospace Engineering,"Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 3 ,Aerospace Engineering,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 4 ,Aerospace Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm"
 5 ,Aerospace Engineering,"Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 6 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 7 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm"
 8 ,Aerospace Engineering,"Wednesday April 3rd - 6:00-7:00 pm"
 9 ,"Mechanical Engineering, Computer Science","Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 10 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 11 ,Mechanical Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm"
 12 ,"Electrical & Computer Engineering, French","Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Tuesday April 2nd - 6:00-7:00 pm"
 13 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 14 ,Mechanical Engineering ,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 15 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 16 ,Mechanical Engineering,"Monday April 1st - 8:00-9:00 pm"
 17 ,Mechanical Engineering,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 18 ,Electrical Engineering,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 19 ,Environmental Engineering,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 20 ,Chemical and Biological Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 21 ,Biomedical Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm"
 22 ,Aerospace Engineering,"Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
